# template name,type / templates,divider / values,unit,comment
#ebus specification types:,,,,
cntstarts,BCD:3,,,Anlaufzähler
cntminutes,BCD,,min,Betriebsstunden
cnthours,BCD:3,,h,Betriebsstunden
cntfuel,BCD:4,,,Brennstoffmenge
unit,UCH,0=all;1=l;2=m³,,Einheit
fueltype,UCH,0=any;1=oil;2=gas,,Brennstoffart
countertype,UCH,0=starts;1=hours 1;2=hours 2;3=hours 3;4=hours 4;5=modulation;16=amount,,Zählerart
opdatacyclic,UCH,0x55=stop;0xaa=start,,zyklische Übertragung
opdatatransfer,UCH,0=stop;1=cyclic;2=event;3=single;3=cyclic and event,,Übertragung
opdataheat,UCH,0x00=off;0x01=none;0x55=hotwater;0xaa=heating;0xcc=emissioncheck;0xdd=tüv;0xee=controlstop;0x66=hotwater in controlstop;0xbb=hotwater in heating;0xee=controlstop in stage,,Wärmeanforderung
opdataaction,UCH,0x00=none;0x01=stop pump;0x02=start pump;0x03=stop consumer;0x04=start consumer,,
desiredtemp,UCH,,°C,Solltemperatur
outsidetemp,SCH,,°C,Außentemperatur
percent,D2C,,%,
percent0,UCH,,%,
percent1,D1C,,%,
percent2,D2B,,%,
spercent,SCH,,%,
temp,D2C,,°C,Temperatur
temp0,UCH,,°C,Temperatur
temp1,D1C,,°C,Temperatur
temp2,D2B,,°C,Temperatur
press,D2B,,bar,Druck
btime,BTI,,,Uhrzeit
bdate,BDA,,,Datum
id,STR:5,,,Geräte-ID
version,PIN,,,Version
skip,IGN:1,,,
